MANDT,PERNR,ENDDA,BEGDA,NACHN,VORNA,GBDAT,GESCH
100,00000001,99991231,20200101,Schmidt,David,19890211,2
100,00000002,99991231,20200101,Schmidt,Felix,19971019,1
100,00000003,99991231,20200101,Weber,Hans,19860417,2
100,00000004,99991231,20200101,Hoffmann,Jan,19780330,1
100,00000005,99991231,20200101,Mueller,Ben,19961124,2
100,00000006,99991231,20200101,Meyer,Felix,19651115,2
100,00000007,99991231,20200101,Fischer,Anna,19800212,1
100,00000008,99991231,20200101,Schulz,Iris,19980913,1
100,00000009,99991231,20200101,Mueller,Hans,19831103,1
100,00000010,99991231,20200101,Meyer,Greta,19990117,2
100,00000011,99991231,20200101,Schneider,Iris,19830619,1
100,00000012,99991231,20200101,Fischer,Clara,19640817,2
100,00000013,99991231,20200101,Schneider,Anna,19970412,1
100,00000014,99991231,20200101,Schmidt,Iris,19930115,2
100,00000015,99991231,20200101,Hoffmann,Emma,19961005,2
100,00000016,99991231,20200101,Schulz,Emma,19650320,1
100,00000017,99991231,20200101,Schulz,Emma,19940815,2
100,00000018,99991231,20200101,Fischer,Felix,19770604,2
100,00000019,99991231,20200101,Schneider,Hans,19630915,2
100,00000020,99991231,20200101,Weber,Ben,19651006,1
100,00000021,99991231,20200101,Fischer,Greta,19890917,2
100,00000022,99991231,20200101,Schmidt,Emma,19640308,2
100,00000023,99991231,20200101,Schmidt,Jan,19861214,2
100,00000024,99991231,20200101,Weber,Anna,19860126,1
100,00000025,99991231,20200101,Fischer,Hans,19600916,1
100,00000026,99991231,20200101,Weber,Greta,19660421,1
100,00000027,99991231,20200101,Weber,Anna,19850405,1
100,00000028,99991231,20200101,Meyer,Clara,19930911,1
100,00000029,99991231,20200101,Mueller,Greta,19820625,2
100,00000030,99991231,20200101,Schneider,David,19710629,2
100,00000031,99991231,20200101,Wagner,Felix,19640702,1
100,00000032,99991231,20200101,Schulz,Hans,19680314,2
100,00000033,99991231,20200101,Hoffmann,Jan,19800521,1
100,00000034,99991231,20200101,Hoffmann,Clara,19830817,1
100,00000035,99991231,20200101,Weber,Hans,19650424,2
100,00000036,99991231,20200101,Schmidt,David,19750825,1
100,00000037,99991231,20200101,Becker,Hans,19851009,2
100,00000038,99991231,20200101,Schmidt,Anna,19950516,1
100,00000039,99991231,20200101,Schmidt,Felix,19920702,1
100,00000040,99991231,20200101,Schulz,Felix,19860205,2
100,00000041,99991231,20200101,Schneider,Anna,20000418,2
100,00000042,99991231,20200101,Mueller,Iris,19620303,1
100,00000043,99991231,20200101,Hoffmann,Iris,19780621,1
100,00000044,99991231,20200101,Schulz,Felix,19860215,1
100,00000045,99991231,20200101,Weber,Iris,19661011,1
100,00000046,99991231,20200101,Hoffmann,Felix,19680107,2
100,00000047,99991231,20200101,Fischer,Greta,19951201,2
100,00000048,99991231,20200101,Wagner,Jan,19810811,1
100,00000049,99991231,20200101,Mueller,Greta,19640820,2
100,00000050,99991231,20200101,Meyer,Anna,19870208,1
100,00000051,99991231,20200101,Schmidt,Anna,19621028,1
100,00000052,99991231,20200101,Hoffmann,Felix,19671017,1
100,00000053,99991231,20200101,Wagner,Emma,19790918,2
100,00000054,99991231,20200101,Schneider,Greta,19980401,1
100,00000055,99991231,20200101,Fischer,Emma,19710323,1
100,00000056,99991231,20200101,Fischer,David,19601008,2
100,00000057,99991231,20200101,Wagner,Clara,19680129,2
100,00000058,99991231,20200101,Schneider,Hans,19791007,2
100,00000059,99991231,20200101,Wagner,Iris,19840611,2
100,00000060,99991231,20200101,Becker,David,19831015,1
100,00000061,99991231,20200101,Mueller,David,19630504,2
100,00000062,99991231,20200101,Schneider,Felix,19840617,1
100,00000063,99991231,20200101,Hoffmann,Hans,19951018,1
100,00000064,99991231,20200101,Hoffmann,Hans,19970727,2
100,00000065,99991231,20200101,Mueller,Emma,19960901,2
100,00000066,99991231,20200101,Mueller,Felix,19981226,2
100,00000067,99991231,20200101,Fischer,David,19950618,1
100,00000068,99991231,20200101,Becker,Felix,19750914,2
100,00000069,99991231,20200101,Fischer,Iris,19690913,1
100,00000070,99991231,20200101,Becker,Greta,19950627,2
100,00000071,99991231,20200101,Wagner,Iris,19681129,1
100,00000072,99991231,20200101,Schmidt,Anna,19671207,1
100,00000073,99991231,20200101,Fischer,Felix,19940513,2
