MANDT,PERNR,ENDDA,BEGDA,SUBTY,STRAS,ORT01,PSTLZ,LAND1
100,00000001,99991231,20200101,1,Street 1,Berlin,10000,DE
100,00000002,99991231,20200101,1,Street 2,Amsterdam,10001,NL
100,00000003,99991231,20200101,1,Street 3,Paris,10002,FR
100,00000004,99991231,20200101,1,Street 4,London,10003,US
100,00000005,99991231,20200101,1,Street 5,Munich,10004,GB
100,00000006,99991231,20200101,1,Street 6,Hamburg,10005,IT
100,00000007,99991231,20200101,1,Street 7,Rotterdam,10006,ES
100,00000008,99991231,20200101,1,Street 8,Lyon,10007,AT
100,00000009,99991231,20200101,1,Street 9,Milan,10008,CH
100,00000010,99991231,20200101,1,Street 10,Madrid,10009,BE
100,00000011,99991231,20200101,1,Street 11,Berlin,10010,DE
100,00000012,99991231,20200101,1,Street 12,Amsterdam,10011,NL
100,00000013,99991231,20200101,1,Street 13,Paris,10012,FR
100,00000014,99991231,20200101,1,Street 14,London,10013,US
100,00000015,99991231,20200101,1,Street 15,Munich,10014,GB
100,00000016,99991231,20200101,1,Street 16,Hamburg,10015,IT
100,00000017,99991231,20200101,1,Street 17,Rotterdam,10016,ES
100,00000018,99991231,20200101,1,Street 18,Lyon,10017,AT
100,00000019,99991231,20200101,1,Street 19,Milan,10018,CH
100,00000020,99991231,20200101,1,Street 20,Madrid,10019,BE
100,00000021,99991231,20200101,1,Street 21,Berlin,10020,DE
100,00000022,99991231,20200101,1,Street 22,Amsterdam,10021,NL
100,00000023,99991231,20200101,1,Street 23,Paris,10022,FR
100,00000024,99991231,20200101,1,Street 24,London,10023,US
100,00000025,99991231,20200101,1,Street 25,Munich,10024,GB
100,00000026,99991231,20200101,1,Street 26,Hamburg,10025,IT
100,00000027,99991231,20200101,1,Street 27,Rotterdam,10026,ES
100,00000028,99991231,20200101,1,Street 28,Lyon,10027,AT
100,00000029,99991231,20200101,1,Street 29,Milan,10028,CH
100,00000030,99991231,20200101,1,Street 30,Madrid,10029,BE
100,00000031,99991231,20200101,1,Street 31,Berlin,10030,DE
100,00000032,99991231,20200101,1,Street 32,Amsterdam,10031,NL
100,00000033,99991231,20200101,1,Street 33,Paris,10032,FR
100,00000034,99991231,20200101,1,Street 34,London,10033,US
100,00000035,99991231,20200101,1,Street 35,Munich,10034,GB
100,00000036,99991231,20200101,1,Street 36,Hamburg,10035,IT
100,00000037,99991231,20200101,1,Street 37,Rotterdam,10036,ES
100,00000038,99991231,20200101,1,Street 38,Lyon,10037,AT
100,00000039,99991231,20200101,1,Street 39,Milan,10038,CH
100,00000040,99991231,20200101,1,Street 40,Madrid,10039,BE
100,00000041,99991231,20200101,1,Street 41,Berlin,10040,DE
100,00000042,99991231,20200101,1,Street 42,Amsterdam,10041,NL
100,00000043,99991231,20200101,1,Street 43,Paris,10042,FR
100,00000044,99991231,20200101,1,Street 44,London,10043,US
100,00000045,99991231,20200101,1,Street 45,Munich,10044,GB
100,00000046,99991231,20200101,1,Street 46,Hamburg,10045,IT
100,00000047,99991231,20200101,1,Street 47,Rotterdam,10046,ES
100,00000048,99991231,20200101,1,Street 48,Lyon,10047,AT
100,00000049,99991231,20200101,1,Street 49,Milan,10048,CH
100,00000050,99991231,20200101,1,Street 50,Madrid,10049,BE
100,00000051,99991231,20200101,1,Street 51,Berlin,10050,DE
100,00000052,99991231,20200101,1,Street 52,Amsterdam,10051,NL
100,00000053,99991231,20200101,1,Street 53,Paris,10052,FR
100,00000054,99991231,20200101,1,Street 54,London,10053,US
100,00000055,99991231,20200101,1,Street 55,Munich,10054,GB
